env_uncertainty,steps_per_round,low_payoff,mean_social_learner
0.0,1,0.1,1.0
0.0,5,0.1,1.0
0.0,10,0.1,1.0
0.0,20,0.1,1.0
0.1,1,0.1,1.0
0.1,5,0.1,1.0
0.1,10,0.1,1.0
0.1,20,0.1,1.0
0.2,1,0.1,1.0
0.2,5,0.1,1.0
0.2,10,0.1,1.0
0.2,20,0.1,1.0
0.3,1,0.1,1.0
0.3,5,0.1,1.0
0.3,10,0.1,1.0
0.3,20,0.1,1.0
0.4,1,0.1,1.0
0.4,5,0.1,0.997
0.4,10,0.1,1.0
0.4,20,0.1,1.0
0.5,1,0.1,1.0
0.5,5,0.1,0.993
0.5,10,0.1,0.979
0.5,20,0.1,0.992
0.6,1,0.1,1.0
0.6,5,0.1,0.717
0.6,10,0.1,0.582
0.6,20,0.1,0.654
0.7,1,0.1,0.993
0.7,5,0.1,0.092
0.7,10,0.1,0.061
0.7,20,0.1,0.034
0.8,1,0.1,0.64
0.8,5,0.1,0.0
0.8,10,0.1,0.002
0.8,20,0.1,0.002
0.9,1,0.1,0.023
0.9,5,0.1,0.0
0.9,10,0.1,0.0
0.9,20,0.1,0.0
1.0,1,0.1,0.0
1.0,5,0.1,0.0
1.0,10,0.1,0.0
1.0,20,0.1,0.0
0.0,1,0.45,1.0
0.0,5,0.45,1.0
0.0,10,0.45,1.0
0.0,20,0.45,1.0
0.1,1,0.45,1.0
0.1,5,0.45,1.0
0.1,10,0.45,1.0
0.1,20,0.45,1.0
0.2,1,0.45,1.0
0.2,5,0.45,1.0
0.2,10,0.45,1.0
0.2,20,0.45,1.0
0.3,1,0.45,1.0
0.3,5,0.45,1.0
0.3,10,0.45,1.0
0.3,20,0.45,1.0
0.4,1,0.45,1.0
0.4,5,0.45,1.0
0.4,10,0.45,1.0
0.4,20,0.45,1.0
0.5,1,0.45,1.0
0.5,5,0.45,1.0
0.5,10,0.45,1.0
0.5,20,0.45,1.0
0.6,1,0.45,1.0
0.6,5,0.45,1.0
0.6,10,0.45,1.0
0.6,20,0.45,1.0
0.7,1,0.45,0.999
0.7,5,0.45,0.998
0.7,10,0.45,0.999
0.7,20,0.45,1.0
0.8,1,0.45,0.955
0.8,5,0.45,0.06
0.8,10,0.45,0.257
0.8,20,0.45,0.597
0.9,1,0.45,0.417
0.9,5,0.45,0.0
0.9,10,0.45,0.0
0.9,20,0.45,0.0
1.0,1,0.45,0.029
1.0,5,0.45,0.0
1.0,10,0.45,0.0
1.0,20,0.45,0.0
0.0,1,0.8,0.886
0.0,5,0.8,1.0
0.0,10,0.8,1.0
0.0,20,0.8,1.0
0.1,1,0.8,0.842
0.1,5,0.8,1.0
0.1,10,0.8,1.0
0.1,20,0.8,1.0
0.2,1,0.8,0.8
0.2,5,0.8,1.0
0.2,10,0.8,1.0
0.2,20,0.8,1.0
0.3,1,0.8,0.756
0.3,5,0.8,0.999
0.3,10,0.8,1.0
0.3,20,0.8,1.0
0.4,1,0.8,0.703
0.4,5,0.8,0.98
0.4,10,0.8,1.0
0.4,20,0.8,1.0
0.5,1,0.8,0.65
0.5,5,0.8,0.96
0.5,10,0.8,1.0
0.5,20,0.8,1.0
0.6,1,0.8,0.567
0.6,5,0.8,0.868
0.6,10,0.8,0.966
0.6,20,0.8,1.0
0.7,1,0.8,0.573
0.7,5,0.8,0.717
0.7,10,0.8,0.865
0.7,20,0.8,0.972
0.8,1,0.8,0.537
0.8,5,0.8,0.479
0.8,10,0.8,0.599
0.8,20,0.8,0.773
0.9,1,0.8,0.495
0.9,5,0.8,0.266
0.9,10,0.8,0.27
0.9,20,0.8,0.266
1.0,1,0.8,0.473
1.0,5,0.8,0.18
1.0,10,0.8,0.099
1.0,20,0.8,0.062
